hts10,country,revision,effective_date,valid_from,valid_until,statutory_base_rate,statutory_rate_232,statutory_rate_ieepa_recip,statutory_rate_ieepa_fent,statutory_rate_301,statutory_rate_301_cs,statutory_rate_s301fl,statutory_rate_s301br,statutory_rate_s338,statutory_rate_s122,statutory_rate_section_201,statutory_rate_other
7202111000,1000,2026_rev_3,2026-02-07,2026-02-07,2026-02-19,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,bnd_2026-02-20,2026-02-20,2026-02-20,2026-02-23,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,2026_rev_4,2026-02-24,2026-02-24,2026-03-31,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,bnd_2026-04-01,2026-04-01,2026-04-01,2026-04-05,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,2026_rev_5,2026-04-06,2026-04-06,2026-04-22,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,2026_rev_6,2026-04-23,2026-04-23,2026-04-28,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,2026_rev_7,2026-04-29,2026-04-29,2026-04-30,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,2026_rev_9,2026-05-01,2026-05-01,2026-06-07,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,2026_rev_10,2026-06-08,2026-06-08,2026-06-30,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,2026_rev_11,2026-07-01,2026-07-01,2026-07-20,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,2026_rev_12,2026-07-21,2026-07-21,2026-07-21,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,bnd_2026-07-22,2026-07-22,2026-07-22,2026-07-23,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,bnd_2026-07-24,2026-07-24,2026-07-24,2026-07-30,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,bnd_2026-07-31,2026-07-31,2026-07-31,2026-08-18,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,bnd_2026-08-19,2026-08-19,2026-08-19,2026-09-28,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,bnd_2026-09-29,2026-09-29,2026-09-29,2026-11-09,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1000,bnd_2026-11-10,2026-11-10,2026-11-10,2026-12-31,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,basic,2025-01-01,2025-01-01,2025-02-03,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,rev_1,2025-02-04,2025-02-04,2025-02-04,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,rev_2,2025-02-05,2025-02-05,2025-03-03,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,rev_3,2025-03-04,2025-03-04,2025-03-06,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,rev_4,2025-03-07,2025-03-07,2025-03-11,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,bnd_2025-03-12,2025-03-12,2025-03-12,2025-03-13,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,rev_5,2025-03-14,2025-03-14,2025-04-02,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,rev_6,2025-04-03,2025-04-03,2025-04-04,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,rev_7,2025-04-05,2025-04-05,2025-04-08,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,rev_8,2025-04-09,2025-04-09,2025-04-09,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,rev_9,2025-04-10,2025-04-10,2025-04-14,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,rev_10,2025-04-15,2025-04-15,2025-05-02,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,rev_11,2025-05-03,2025-05-03,2025-05-13,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
7202111000,1010,rev_12,2025-05-14,2025-05-14,2025-05-15,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0
