year,state,fiitax,siitax,fica,frate,srate,ficar,tfica,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,staxbc,srebate,senergy,sctc,sptcr,samt,qbid,niit,addmed,cares,actc,cd2026081819,taxsimid,mstat,page,sage,depx,pwages,psemp,swages,ssemp,dividends,intrec,stcg,ltcg,otherprop,nonprop,pensions,gssi,pui,sui,transfers,rentpaid,proptax,otheritem,childcare,mortgage,scorp,idtl,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,source,state_code,federal_match,state_match,overall_match,v42,v43
2025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-322705.58,1.13,0.0,17750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24783952.64,0.0,-2280074.3,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88052,1,85,0,0,0.0,-24784772.0,0.0,0.0,0.0,0.0,-1521430.75,-438936.84375,0,0,0.0,817.2284644194756,1.1333333333333333,0.0,0,0.0,0.0,0,0.0,0.0,-4117041.0,2,,,,,,,,,,,,taxsim,AL,True,True,True,,
2025,1,0.0,0.0,0.0,0.0,0.0,,0.0,-307998.875,1.1299999952316284,0.0,17750.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,17750.0,0.0,0.0,0.0,,,-30862180.0,,3000.0,4937948.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,88052,1,85,0,0,0.0,-24784772.0,0.0,0.0,0.0,0.0,-1521430.75,-438936.84375,0,0,0.0,817.2284644194756,1.1333333333333333,0.0,0,0.0,0.0,0,0.0,0.0,-4117041.0,2,,,,,,,,,,,,policyengine,AL,True,True,True,0.0,0.0
2025,1,3113.64,1746.45,6683.73,0.0,0.0,0.0,3341.87,43684.52,0.0,0.0,15750.0,0.0,0.0,0.0,0.0,27934.52,3113.64,0.0,0.0,0.0,0.0,0.0,0.0,43684.52,0.0,3113.64,6683.73,43685.52,0.0,43684.52,1500.0,2500.0,3341.87,35729.01,0.0,0.0,0.0,0.0,5.0,1746.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88053,1,49,0,0,43684.51953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,,taxsim,AL,True,True,True,,
2025,1,3113.639892578125,1746.449951171875,6683.72998046875,12.0,4.017499923706055,,3341.8701171875,43684.51953125,0.0,0.0,15750.0,0.0,,,1994.22998046875,27934.51953125,3113.639892578125,,,0.0,,0.0,0.0,43684.51953125,0.0,3113.64,3341.8701171875,,,43684.52,,2500.0,3341.8701171875,35729.01,0.0,0.0,0.0,0.0,,1746.45,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,88053,1,49,0,0,43684.51953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,,policyengine,AL,True,True,True,0.0,0.0
2025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6424.37,0.0,88.52,17750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6424.37,0.0,0.0,0.0,44019.25,0.0,335.85,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88054,1,69,0,0,0.0,0.0,0.0,0.0,0.0,40.41845703125,0.0,0.0,0,0,6295.4267578125,37682.40449438202,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,,taxsim,AL,True,True,True,,
2025,1,0.0,0.0,0.0,0.0,0.0,,0.0,6424.3701171875,0.0,88.5199966430664,17750.0,0.0,,,785.719970703125,0.0,0.0,,,0.0,,0.0,0.0,17750.0,0.0,0.0,0.0,,,335.85,,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,88054,1,69,0,0,0.0,0.0,0.0,0.0,0.0,40.41845703125,0.0,0.0,0,0,6295.4267578125,37682.40449438202,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,,policyengine,AL,True,True,True,0.0,0.0
2025,1,197357.91,28987.3,33941.73,0.0,0.0,0.0,16133.58,796126.95,0.0,0.0,15750.0,0.0,0.0,0.0,0.0,722147.13,224214.69,0.0,0.0,0.0,0.0,0.0,0.0,737897.13,0.0,177849.59,33941.73,796717.46,0.0,796716.46,1500.0,2500.0,16133.58,580545.97,0.0,0.0,0.0,0.0,5.0,28987.3,0.0,0.0,0.0,0.0,0.0,58229.83,19508.31,660.97,0.0,0.0,0.0,88055,1,53,0,0,232786.25,44023.078125,0.0,0.0,28209.28515625,3021.27978515625,0.0,240961.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,247715.5625,2,,,,,,,,,,,,taxsim,AL,False,False,False,,
2025,1,188245.3125,29501.880859375,30427.1796875,23331.921875,-1161.712890625,,16133.580078125,796126.9375,0.0,0.0,15750.0,0.0,,,10000.0,722147.125,128089.1484375,,,0.0,,0.0,0.0,737897.125,0.0,177902.05,16133.580078125,,,796716.44,,2500.0,16133.580078125,590837.5,0.0,0.0,0.0,0.0,,29501.88,0.0,,0.0,,,58229.8203125,10343.2802734375,,0.0,0.0,,88055,1,53,0,0,232786.25,44023.078125,0.0,0.0,28209.28515625,3021.27978515625,0.0,240961.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,247715.5625,2,,,,,,,,,,,,policyengine,AL,False,False,False,0.0,0.0
2025,1,416871.42,53682.46,77198.97,0.0,0.0,0.0,26849.43,1524232.04,1360.0,0.0,31500.0,0.0,0.0,0.0,0.0,1396053.32,440602.23,0.0,0.0,0.0,0.0,0.0,0.0,1427553.32,0.0,387831.79,77198.97,1525134.94,0.0,1523773.94,3000.0,5000.0,26849.43,1075249.28,0.0,0.0,0.0,0.0,5.0,53682.46,0.0,0.0,0.0,0.0,0.0,96678.71,29039.63,4233.28,0.0,0.0,0.0,88056,2,62,61,0,652506.1875,67352.59375,5657.69482421875,0.0,97214.0078125,41890.33203125,-10.945213317871094,213211.28125,0,0,29009.912109375,0.0,1360.0,0.0,0,0.0,0.0,0,0.0,0.0,416942.875,2,,,,,,,,,,,,taxsim,AL,False,False,False,,
2025,1,401219.3125,54555.26171875,47661.78125,35808.1875,-1785.53515625,,26849.4296875,1524232.0,1360.0,0.0,31500.0,0.0,,,10000.0,1396053.25,325748.875,,,0.0,,0.0,0.0,1427553.25,0.0,387831.74,26849.4296875,,,1523774.0,,5000.0,26849.4296875,1092705.25,0.0,0.0,0.0,0.0,,54555.26,0.0,,0.0,,,96678.71875,13387.580078125,,0.0,0.0,,88056,2,62,61,0,652506.1875,67352.59375,5657.69482421875,0.0,97214.0078125,41890.33203125,-10.945213317871094,213211.28125,0,0,29009.912109375,0.0,1360.0,0.0,0,0.0,0.0,0,0.0,0.0,416942.875,2,,,,,,,,,,,,policyengine,AL,False,False,False,0.0,0.0
2025,1,209793.57,33654.48,33117.32,0.0,0.0,0.0,21806.49,915916.82,0.0,0.0,31500.0,0.0,0.0,0.0,0.0,743809.76,199427.92,0.0,0.0,0.0,0.0,1200.0,0.0,775309.76,0.0,189906.0,33117.32,920745.0,0.0,920744.0,3600.0,5000.0,21806.49,674689.58,0.0,0.0,0.0,0.0,5.0,33654.48,0.0,0.0,0.0,0.0,0.0,140607.06,21087.57,841.3,0.0,0.0,0.0,88057,2,28,27,2,143992.859375,211828.09375,3861.18408203125,0.0,7079.53369140625,1547.9935302734375,0.0,56399.9296875,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,20787.848101265823,0.0,496034.40625,2,4.0,1.0,,,,,,,,,,taxsim,AL,False,False,False,,
2025,1,191604.796875,35106.640625,33117.3203125,50637.953125,-2526.724609375,,21806.490234375,915916.75,0.0,0.0,31500.0,0.0,,,10000.0,743809.6875,177210.09375,,,0.0,,772.239990234375,0.0,775309.6875,0.0,189905.99,21806.490234375,,,920744.0,,5000.0,21806.490234375,703732.75,0.0,0.0,0.0,0.0,,35106.64,0.0,,0.0,,,140607.0625,2471.0400390625,,0.0,0.0,,88057,2,28,27,2,143992.859375,211828.09375,3861.18408203125,0.0,7079.53369140625,1547.9935302734375,0.0,56399.9296875,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,20787.848101265823,0.0,496034.40625,2,4.0,1.0,,,,,,,,,,policyengine,AL,False,False,False,0.0,0.0
2025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-542.4,0.0,0.0,17750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10052.91,0.0,-542.4,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88058,1,66,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-433.9196472167969,-108.47991180419922,0,0,0.0,10051.91011235955,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,,taxsim,AL,True,True,True,,
2025,1,0.0,0.0,0.0,0.0,0.0,,0.0,-542.4000244140625,0.0,0.0,17750.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,17750.0,0.0,0.0,0.0,,,-542.4,,3000.0,86.77999877929688,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,88058,1,66,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-433.9196472167969,-108.47991180419922,0,0,0.0,10051.91011235955,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,,policyengine,AL,True,True,True,0.0,0.0
2025,1,8672.6,5233.76,19063.19,0.0,0.0,0.0,9531.6,127909.37,0.0,0.0,31500.0,0.0,0.0,0.0,0.0,95780.35,11016.64,0.0,0.0,2200.0,0.0,129.92,0.0,127280.35,0.0,11002.53,19063.19,127910.37,0.0,127909.37,3300.0,5000.0,9531.6,106275.25,0.0,0.0,0.0,0.0,5.0,5233.76,0.0,0.0,0.0,0.0,0.0,629.02,0.0,0.0,0.0,0.0,0.0,88059,2,34,32,1,64029.31640625,0.0,60566.70312499999,0.0,117.63349914550744,50.633449077606194,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,649.620253164557,0.0,3145.084228515598,2,4.0,,,,,,,,,,,taxsim,AL,True,True,True,,
