taxsimid,year,state,fiitax,siitax,fica,tfica,v10,v11,v12,v13,v14,v17,qbid,niit,v18,v19,v22,v24,v25,v26,v27,v28,v29,v32,v34,v35,v36,srebate,v37,v38,v39,v40,v42,v43,v44,actc,cares,frate,srate,pe_al_agi,pe_al_standard_deduction,pe_al_itemized_deductions,pe_al_deductions,pe_al_federal_income_tax_deduction,pe_al_personal_exemption,pe_al_dependent_exemption,pe_al_retirement_exemption,pe_al_taxable_income,pe_al_income_tax_before_non_refundable_credits,pe_al_non_refundable_credits,pe_al_income_tax_before_refundable_credits,pe_al_refundable_credits,pe_al_income_tax,pe_adjusted_gross_income,pe_income_tax_before_credits,pe_income_tax_capped_non_refundable_credits,pe_net_investment_income_tax,pe_income_tax_before_refundable_credits,pe_eitc,pe_american_opportunity_credit,pe_refundable_ctc,pe_income_tax_refundable_credits,pe_income_tax,pe_recapture_of_investment_credit,pe_unreported_payroll_tax,pe_qualified_retirement_penalty,pe_tax_unit_taxable_social_security,pe_tax_unit_social_security,pe_taxable_pension_income
88062,2025,1,-10797.28,931.91,4522.42,2261.21,29558.28,0.0,0.0,23625.0,0.0,1287.91,0.0,0.0,5933.28,593.33,593.33,0.0,6738.54,29558.28,0.0,593.33,2261.21,29558.28,4120.0,2261.21,19438.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.59,4058.74,0.0,6.0596,5.0,29558.275,4120.0,2261.208,10120.0,0.0,3000.0,3000.0,0.0,19438.275,931.91376,0.0,931.91376,0.0,931.91376,29558.275,593.3275,593.3275,0.0,0.0,6738.537,0.0,4058.7412,10797.278,-10797.278,0.0,0.0,0.0,0.0,0.0,0.0
88063,2025,1,14410.3,3998.2,15873.86,7936.93,104611.13,0.0,0.0,15750.0,0.0,5040.56,0.0,0.0,88861.13,14296.39,0.0,0.0,0.0,104611.13,0.0,14410.29,7936.93,104611.13,2500.0,7936.93,80763.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504.39,0.0,0.0,22.0,3.5176,104611.13,2500.0,7936.9307,23847.227,14410.295,1500.0,0.0,0.0,80763.91,3998.1953,0.0,3998.1953,0.0,3998.1953,104611.13,14410.295,0.0,0.0,14410.295,0.0,0.0,0.0,0.0,14410.295,0.0,0.0,0.0,0.0,0.0,0.0
88064,2025,1,2.0558196e+06,254534.9,115991.29,66915.6,7.218875e+06,0.0,0.0,31500.0,0.0,10000.0,421566.28,110031.02,6.7658085e+06,1.3791735e+06,0.0,0.0,0.0,6.797309e+06,0.0,1945788.62,66915.6,7218933.0,5000.0,66915.6,5092298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49849.68,0.0,0.0,156016.88,-7796.0,7.218933e+06,5000.0,66915.59,2.1266352e+06,2.0558196e+06,3000.0,900.0,0.0,5.092298e+06,254534.9,0.0,254534.9,0.0,254534.9,7.218875e+06,1.9457886e+06,0.0,110031.016,2.0558196e+06,0.0,0.0,0.0,0.0,2.0558196e+06,0.0,0.0,0.0,0.0,0.0,0.0
88065,2025,1,159392.03,33290.51,31513.77,16294.32,845920.25,0.0,0.0,31500.0,0.0,10000.0,41093.68,15449.29,773326.56,75256.5,0.0,0.0,0.0,804826.56,0.0,143942.75,16294.32,846396.5,5000.0,16294.32,667410.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3468.11,0.0,0.0,13527.8125,-671.5293,846396.5,5000.0,16294.32,178986.34,159392.03,3000.0,300.0,0.0,667410.1,33290.508,0.0,33290.508,0.0,33290.508,845920.25,143942.75,0.0,15449.289,159392.03,0.0,0.0,0.0,0.0,159392.03,0.0,0.0,0.0,0.0,0.0,3147.2314453125
88066,2025,1,25217.43,7865.61,25776.64,12888.32,200017.86,0.0,0.0,31500.0,0.0,9620.89,3343.12,0.0,165174.75,23183.82,0.0,0.0,0.0,196674.77,0.0,25217.43,12888.32,200017.86,5000.0,12888.32,158912.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2442.88,0.0,0.0,22.0,3.5181,200017.86,5000.0,12888.321,41105.75,25217.428,3000.0,0.0,0.0,158912.11,7865.6055,0.0,7865.6055,0.0,7865.6055,200017.86,25217.428,0.0,0.0,25217.428,0.0,0.0,0.0,0.0,25217.428,0.0,0.0,0.0,0.0,0.0,0.0
88067,2025,1,16420.77,6511.69,18699.59,9349.79,160604.4,0.0,0.0,31500.0,0.0,7650.22,5233.5,0.0,123870.91,15009.0,0.0,0.0,0.0,155370.9,0.0,16420.77,9349.79,160604.39,5000.0,9349.79,131833.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1772.18,0.0,0.0,21.9961,3.5181,160604.39,5000.0,9349.793,28770.564,16420.771,3000.0,0.0,0.0,131833.83,6511.6914,0.0,6511.6914,0.0,6511.6914,160604.4,16420.771,0.0,0.0,16420.771,0.0,0.0,0.0,0.0,16420.771,0.0,0.0,0.0,0.0,0.0,0.0
88068,2025,1,0.0,0.0,17387.34,8854.42,-499079.1,0.0,0.0,31500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,0.0,0.0,8854.42,-1763037.5,8500.0,290940.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617.35,0.0,0.0,0.0,0.0,-1.7630375e+06,8500.0,290940.4,294940.4,0.0,3000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-499079.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88069,2025,1,-1683.4,0.0,524.89,262.45,3430.66,0.0,0.0,23625.0,0.0,682.61,0.0,0.0,0.0,0.0,0.0,0.0,1543.8,23625.0,0.0,0.0,262.45,3430.66,5200.0,262.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.74,139.6,0.0,-60.0,0.0,3430.6592,5200.0,262.44543,11200.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3430.6592,0.0,0.0,0.0,0.0,1543.7966,0.0,139.59888,1683.3955,-1683.3955,0.0,0.0,0.0,0.0,0.0,0.0
88070,2025,1,0.0,0.0,8758.17,4379.09,-554764.75,0.0,0.0,33100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33100.0,0.0,0.0,4379.09,-45711352.0,8500.0,7.318195e+06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.02,0.0,0.0,0.0,0.0,-4.571135e+07,8500.0,7.3181955e+06,7.3211955e+06,0.0,3000.0,0.0,3.817087,0.0,0.0,0.0,0.0,0.0,0.0,-554764.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.63417387008667
88071,2025,1,25444.6,7128.29,7065.14,3532.57,181718.52,0.0,1875.54,17750.0,0.0,8895.93,76.87,0.0,163891.64,13604.13,0.0,0.0,0.0,181641.64,0.0,25444.61,3532.57,173842.95,2500.0,3532.57,143365.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.57,0.0,0.0,22.0,3.5171,173842.95,2500.0,3532.5698,30477.176,25444.605,1500.0,0.0,6000.0,143365.78,7128.289,0.0,7128.289,0.0,7128.289,181718.52,25444.605,0.0,0.0,25444.605,0.0,0.0,0.0,0.0,25444.605,0.0,0.0,0.0,1875.5394,2206.5168,37470.0078125
88072,2025,1,0.0,0.0,111.73,55.86,1061.54,0.0,0.0,34700.0,0.0,853.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34700.0,0.0,0.0,55.86,1061.54,8500.0,55.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.59,0.0,0.0,0.0,0.0,1061.5398,8500.0,55.86371,11500.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.5398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32411.281,0.0
